name,price,condition,toeStyle,style,features,handmade,character,color,material,brand,occasion,sockLength,pattern,garmentCare,sizeType,theme,availability
"Diabetic socks for men - extra wide Ideal socks for swollen ankles, 100% cotton",GBP 3.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,diabetic socks,,,,,Cotton,SIMALA,"Business, Casual, Formal, Workwear",Mid Calf,,,,,437 sold
Mens Designer Diabetic Socks Non Elastic Cotton 3 6 12 Pairs .,GBP 4.29,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Dress Socks,All Seasons,,Patterns,,"55% Cotton, 20% Polyester, 2% Elastane.",Unbranded,Casual,Mid Calf,Mixed,Machine Washable,Regular,Dress,26 sold
"3, 6 Pairs Combat Mens Long Army Socks Thermal Military Hiking Socks Size 6-11",GBP 5.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Military Socks,Thermal,No,N/A,,"Wool, Acrylic",Combat,Casual,Long Socks,No Pattern,Machine Washable,Regular,Army,21 sold
Nike Men's Women Socks 3 Pairs Crew Everyday Cushioned Cotton Sports Gym Socks,GBP 11.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Crew Socks,"Cushioned, Lightweight",No,"Andrea, Angel, Astro Boy, Blue",,Cotton,Nike,"Business, Casual, Formal",Mid Calf,No Pattern,Machine Washable,Regular,Sports,"1,721 sold"
Mens Womens Non Elastic Diabetic Socks Loose Soft Grip Top Adults Black 6 Pairs,GBP 12.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Reinforced Toe,Crew Socks,All Seasons,No,Boots,,Cotton,CTL,Casual,Mid Calf,No Pattern,Machine Washable,Regular,Modern,12 sold
Mens Cotton Work Socks Solid Color British Style Business Weekly Dress Sock 8-12,GBP 2.89,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Everyday Socks,,,,,Cotton Blend,Unbranded,Workwear,Trainer Socks,No Pattern,Machine Washable,Regular,Week socks,749 sold
For Men Breathable Show Off Socks Middle Tube Socks Women Socks Female Hosiery,GBP 3.25,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Cute,,,,,polyester fiber,Unbranded,,,,,,,144 sold
Men 6-11 Fashion Plain Rich Colour Colourful Comfortable Socks 29 colours,GBP 4.00,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Everyday Socks,,,N/A,,,Macahel,,Ankle Socks,Plain,Machine Washable,Regular,Colourful,"16,530 sold"
5-20 Pairs Mens Cotton Rich Thick Warm Cushion Sole Sport Work Socks Size 6-11,GBP 6.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Reinforced Toe,Crew Socks,"All Seasons, Cushioned",No,sports,,Cotton Blend,CTL,"sports, Business, Casual, Formal, Workwear",Mid Calf,ribbed,Machine Washable,Regular,"gym, running, Sports","3,132 sold"
mens white nike crew socks 3 Pairs,GBP 8.95,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Crew Socks,,,,,,Nike,Casual,,,,,,93 sold
