name,price,condition,toeStyle,style,features,handmade,character,color,material,brand,occasion,sockLength,pattern,garmentCare,sizeType,theme,availability
ALPACA Wool Padded Boot Walking Hiking Socks Warm Hard-Wearing Thermal Warm,GBP 19.50,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Reinforced Toe,Outdoor Socks,"All Seasons, Antibacterial, Breathable, Cushioned, Lightweight, Moisture Wicking, Thermal",No,n/a,,"Alpaca, Nylon, Wool",AlpacaProducts.co.uk,"Travel, Holidays, Sports, Casual, Workwear",Mid Calf,No Pattern,Machine Washable,Regular,"Winter, Gift, Birthday, Hiking, Travel, Christmas, Outdoor, Sports",55 sold
6 PAIRS MENS EXTRA WIDE FOOT LOOS TOP COTTON SOCKS FOR SWOLLEN FEET AND ANKLES,GBP 5.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Non-Elastic Socks,All Seasons,Yes,Boots,,100% COTTON,Unbranded,Casual,Ankle Socks,plain,Machine Washable,Regular,Sports,774 sold
"Nike GOLF ""DRY CUSHIONED NO SHOW"" SOCKS -White -MEN'S/WOMEN'S -Extra Large 12-15",US $8.95,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Golf Socks,Cushioned,,Nike Golf,White,Polyester Blend,Nike,Everyday,No-Show,Solid,Machine Washable,Regular,Nike Golf,1 sold
6/12 Pairs Mens Cotton Rich Cushion Sole Sport Work Socks Shoe Size 6-11,GBP 9.95,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Crew Socks,"All Seasons, Cushioned",No,Boots,,Cotton,ctl,"Business, Casual, Formal, Workwear",Mid Calf,No Pattern,Machine Washable,Regular,"work, Sports",3 sold
"3,6,12 Pairs DICKIES Men's Trainer Quarter Ankle Work Socks Thick Heavy Duty LoT",GBP 2.95,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Reinforced Toe,Crew Socks,"All Seasons, Antibacterial, Arch Support, Breathable, Cushioned, Lightweight, Moisture Wicking, Slip Resistant, Thermal",No,Boots,,Cotton Blend,Dickies,"Business, Casual, Formal, Workwear",Mid Calf,,Machine Washable,Regular,Designer,4 sold
20 Pairs Ladies Women's High Quality Cotton Luxury Socks UK SIZE 4-7 NBMVN,GBP 12.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Ankle Socks,Antibacterial,,Astro Boy,,Cotton,ROZA,,Mid Calf,Animal Print,,,Colourful,62 sold
Puma Socks 3 Pairs Mens Womens Crew Ankle Liner Cotton Sports Socks Size UK 2-11,GBP 9.95,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Sports Socks,,No,,,Cotton Blend,PUMA,Casual,,No Pattern,Machine Washable,Regular,,"1,347 sold"
UNITED ODDSOCKS SOCKS ADDICT SIX DAZZLING MENS ODD SOCKS UK 6 -11 XMAS GIFT IDEA,GBP 15.25,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Everyday Socks,All Seasons,No,,,Cotton,United Oddsocks,Casual,,"Novelty, Cartoon",Machine Washable,Regular,Novelty,337 sold
Off White Double Sided Diagonal Striped Skate Socks (Black),GBP 10.99,"New without tags: A brand-new, unused, and unworn item (including handmade items) that is not in ...",,Sneaker Socks,All Seasons,,Black Panther,,Cotton,Unknown,Casual,Mid Calf,Striped,,Regular,Sports,2 sold
"Tommy Hilfiger 2-Pack Iconic Logo Men's Sports Socks, Black",GBP 15.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Crew Socks,All Seasons,No,N/A,,Cotton Blend,Tommy Hilfiger,Casual,Mid Calf,See Product image,Machine Washable,Regular,N/A,4 sold
Check Socks Black White Coloured Novelty Ankle Chequered Flag Squares Men Womens,GBP 5.45,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Everyday Socks,All Seasons,No,"Check, Checkered, Chequered, Patterned",,Cotton Blend,Macahel,Casual,Ankle Socks,Check,Machine Washable,Regular,Novelty,47 sold
5 pairs Mongolia Pure Cashmere Wool Men Men Unisex Socks Crew Mid-calf,US $16.00/ea,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Crew Socks,,,,"Black, gray, white, camel, light gray","Cashmere, Wool",100%,,Mid Calf,,,,,57 sold
Mens Socks 5 Pairs Design Funky Coloured Cotton Fashion Stripes Socks Size 6-11,GBP 5.29,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Dress Socks,"All Seasons, Lightweight",,No Character,,"55% Cotton, 43% Polyester and 2% Elastane",The Essentials Wardrobe,"Business, Casual, Formal",Mid Calf,,Machine Washable,Regular,No Theme,422 sold
6 Pairs Mens Long Argyle Golf Socks Knee Length Shoe Size 6-11 Diamond Design,GBP 8.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Everyday Socks,,,,,Cotton Blend,Sockco,Casual,Long Socks,"Argyle, Diamond",,,Sports,"1,186 sold"
12x Pairs Mens Stripe Socks striped Coloured Designer Suit Fashion Adults,GBP 8.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Dress Socks,Lightweight,,,,Cotton Blend,iceBoo®,Casual,,Striped,Machine Washable,Regular,Designer,7 sold
HAPPY SOCKS Men's Navy Lips Combed Cotton Socks Size 8-12 NWT,US $8.00,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Socks,Does not Apply,,,Blue,"Cotton, Polyamide, Spandex",Happy Socks,Casual,,,,Regular,,3 sold
"Plain Pale Pink Socks in Mens, Womens and Kids Sizes - X6S086",GBP 4.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Novelty Socks,All Seasons,Yes,NA,,Cotton Blend,GTR-Prestige Giftware,Casual,Mid Calf,No Pattern,,Regular,Novelty,703 sold
"3 6 12 Pairs White Health Circulatory Cotton Crew Diabetic Sock 9-11,10-13,13-15",US $8.49/ea,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Crew Socks,Cushioned,Yes,"Boots, Boy",White,Cotton,Diamond Star,"Business, Casual, Formal, Workwear",Crew,Solid,Machine Washable,Regular,USA,17 sold
"Sport Skater basketball Socks Unisex Ladies Men's 23"" inch long socks",GBP 5.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Sports Socks,All Seasons,No,None,,"82% cotton, 10% nylon, 5% polyacrylic, 5% elastan, Cotton, Nylon",Socks Lab,"Activewear, Casual, Clubwear, Everyday, Party/Cocktail, Workwear",Knee High,Striped,,Regular,"80s, Sports",258 sold
3-12 Pairs Sport 2 Tones Mens Cotton Thick Cushioned Low Cut Ankle Quarter Socks,US $6.99/ea,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Sneaker Socks,"All Seasons, Antibacterial, Breathable, Cushioned, Moisture Wicking",No,Men sport socks,"Black, White, Gray","80% Cotton, 20% spandex",Cellphone Friend,"Casual, Workwear",Low Cut,Two Tones,Machine Washable,Regular,Sports,352 sold
3 Pairs Cotton Tabi Socks Man Mens Knee High Toe Stockings Closed,US $15.78/ea,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Cotton Sock,,,,Dark Grey,Cotton,Unbranded,,,Cotton Sock,,,,2 sold
Mens Socks 3 Pairs Casual Work Sports Cotton Rich Designer Sock Size UK 6–11 UK,GBP 5.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Reinforced Toe,"Outdoor Socks, Dress Socks, Novelty Socks","All Seasons, Breathable, Lightweight, All Seasons",No,N/A,,"Cotton, Elastane, Polyester, Cotton",Pendeen,"Casual, Business, Workwear, Casual",Mid Calf,"Argyle/Diamond, Geometric, Check, Striped",Machine Washable,Regular,"Classic, Colourful, Designer, Novelty, Outdoor, Sports, Sports",64 sold
Plantar Fasciitis Socks Neuropathy Socks Ankle Compression Socks for Women Men,GBP 8.80,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Open Toe,Compression,"Arch Support, Breathable, Cushioned, Lightweight, Non-Slip, Plantar Fasciitis, Adjustable",No,ankle support,,Fabric,PEDIMEND,,N/A,No Pattern,Machine Washable,Regular,Sports,52 sold
1Pairs 3Colors Men's Dress Socks Thermal Casual Soft Cotton Sport Sock Gift,US $1.49/ea,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Dress,,,,,Polyester&Cotton,Unbranded,,,Solid,,,Winter,4 sold
6 Pairs Multipack BAMBOO Socks Mens NON ELASTIC Diabetic Gentle Soft Top Grip,GBP 6.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Everyday Socks,All Seasons,No,Dream,,Bamboo,Unbranded,Casual,Mid Calf,No Pattern,Machine Washable,Regular,Sports,39 sold
4 Pair Multipack Mens Bamboo Diabetic Socks | Dr Socks | Wide Diabetic Socks,GBP 14.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Crew Socks,,No,,,Bamboo,Dr.Socks,,Mid Calf,No Pattern,Machine Washable,Regular,,16 sold
"Mens Nike cushioned Dri-Fit everyday performance ankle cotton socks 1,3,6 pairs",US $9.99,"New without tags: A brand-new, unused, and unworn item (including handmade items) that is not in ...",Full Toe,Athletic Socks,Cushioned,No,,,Cotton,Nike,,Low Cut,Solid,,,,31 sold
* 6 PAIRS * EVERYDAY / DRESS SOCKS UNION JACK DESIGN * KING'S CORONATION *,GBP 11.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Dress Socks,,,,,Cotton,Union Jack,Casual,Normal Sock Length,Union Jack,Machine Washable,Regular,Union Jack,290 sold
Hand Knitted Woollen Rainbow Lounge Bed Winter Socks - 100% Wool,GBP 12.48,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Hand Knitted,"All Seasons, Thermal",Yes,N/A,,Wool,Paper High,Casual,Long Socks,,Hand-wash only,Regular,Winter,27 sold
"6,12 SEAM FREE TOE SOCKS MEN'S GOOD QUALITY 100% COTTON COMFORT SIZE 6/11",GBP 10.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Seamless,"All Seasons, Lightweight",No,Boots,,100% COTTON,100%,Casual,Regular Socks,,,Regular,seamless,26 sold
HJ Hall HJ702 Mens Protrek Mountain Climb Socks - UK 11-13,GBP 13.00,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,N/A,,,,,,HJ Socks,,,,,,,9 sold
STANCE CURREN SOCKS.NEW NAVY STRIPED ARCH SUPPORT CUSHIONED SIZE UK 6 - 16 S24,GBP 10.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Everyday Socks,Arch Support,,,,Cotton Blend,Stance,Casual,Mid Calf,Striped,Machine Washable,,,11 sold
Mens Plus Size D555 Logan Sport Socks 2-Pack Black (11-16 UK),GBP 7.00,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Athletic Socks,,,,,Cotton,D555,,Mid Calf,No Pattern,Machine Washable,,,26 sold
MENS QUALITY MERINO WOOL HIKE WALKING LONG CREW BOOT COMFORTOS SOCKS UK 6/11,GBP 2.93,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,CREW,Thermal,,Boots,,MERINO WOOL,Comfortos,Casual,CREW CALF,PLAIN Wool,Machine Washable,Regular,Outdoor sock,170 sold
Mens Trainer Liner Ankle Socks Funky Designs Adults Sports UK Sizes 6-11 lot,GBP 3.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Trainer Design Socks,"All Seasons, Lightweight",No,Stripr,,65% cotton 32% polyester 3% elastics,RoyalDream,Casual,Trainer,Striped,Machine Washable,Regular,Sports,158 sold
Five Toe Socks Cotton Blend Soft Absorbent Stockings Breathable Friction-proof,GBP 3.59,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Outdoor Socks,Non-Slip,,,,Cotton,Unbranded,Casual,Low Cut,Solid,,Regular,,142 sold
KITH X STANCE Men's Olive Mossad Legends Day Classic Crew Socks Size Large NEW,US $19.95,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Crew,Does not Apply,,,Olive,"Combed Cotton, Elastane, Elastic",KITH,,,,,Regular,,77 sold
6Pair Men Cotton Toe Socks Five Finger Solid Sport Ankle Breathe Low Cut Classic,US $3.96/ea,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Casual,,,,,Cotton Blend,Unbranded,,,Geometric,,,Novelty,6 sold
Scruffs T5354 Trade Thick Work Boot Socks 3 Pack Sizes 7-9.5 / 10-13,GBP 15.95,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Crew Socks,,,,,,Scruffs,,,,,Regular,,203 sold
3 PAIRS MENS ALEXANDER GREEN BAMBOO SOCKS 7-11 STRIPE STYLE SOFT & COMFORTABLE,GBP 4.85,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Everyday Socks,"Antibacterial, Moisture Wicking",,,,Bamboo Blend,ALEXANDER GREEN,,Mid Calf,Striped,Machine Washable,Regular,,99 sold
6 Pairs Of Mens Work Socks Robust Heavy Duty Steel Toe Boot Sock Extra Thick,GBP 10.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Heavy Duty Boot Socks,All Seasons,,"N/A, Boots",,Mixed Fibres,Sock Stack,Casual,Mid Calf,,Machine Washable,Regular,Ski,"1,186 sold"
1 PAIR BRITISH ARMY DESERT COMBAT SOCKS MOD [71070],GBP 4.49,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Outdoor Socks,,,,,,Combat,Casual,,,,,Army,179 sold
WOOL SOCKS MERINO THERMAL WOMEN MEN PAIR OF THICK %100 LAMBSWOOL WOOLLEN WINTER,GBP 7.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Thermal Socks,Thermal,,Organic,,Wool,GAGAWOOL,Casual,Regular,Pattern,Machine Washable,Regular,Winter,38 sold
"Mens Bamboo Dinosaur Socks UK 7-11, EU 40-46 T-Rex Dino Crew Socks Daddysaurus",GBP 6.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Novelty Socks,"All Seasons, Breathable, Lightweight",No,Rex,,Bamboo,Bamboo,Casual,Mid Calf,T-Rex,Machine Washable,Regular,"Dinosaur, T-Rex",8 sold
1-20 Pair DICKIES Men' Work Crew Boot Work/Sport Socks Thick Heavy Duty 6-11 Lot,GBP 2.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Reinforced Toe,Crew Socks,"All Seasons, Antibacterial, Breathable, Lightweight, Non-Slip",No,Boots,,Cotton Blend,Dickies,"Business, Casual, Formal, Workwear",Mid Calf,No Pattern,Machine Washable,Regular,Sports,55 sold
100% Cotton Mens Heavy Duty Work Socks Warm & Thick 3-6-9-12 PAIRS UK 6-11,GBP 4.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Crew Socks,"All Seasons, Antibacterial, Cushioned, Lightweight",No,"Not Applicable, Boots",,"70% Cotton, 22% Polyester, 6% Mix Fiber, 2% Elasta, Cotton",MIA,"Business, Casual, Formal",Mid Calf,Multi Design,Machine Washable,Regular,"Every Day Socks, Colourful, Designer, Sports",29 sold
IOMI - 3 Pack Mens Womens Non Binding Wide Crew Diabetic Socks in Black or White,US $18.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Casual,,,,,Acrylic Blend,IOMI,,,Solid,,,,64 sold
Mens Ankle Quarter Boat Socks Low Cut Athletic Sports Non-slip Running Outdoor,US $10.56,"New without tags: A brand-new, unused, and unworn item (including handmade items) that is not in ...",Full Toe,Athletic Socks,"Breathable, Non-Slip, Slip Resistant",,,,Polyester,Unbranded,,Low Cut,Geometric,Machine Washable,Regular,Outdoor,6 sold
"Plain Purple Socks in Mens, Womens and Kids Sizes - X6S066",GBP 4.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Novelty Socks,All Seasons,Yes,Novelty,,Cotton Blend,GTR-Prestige Giftware,Casual,Mid Calf,No Pattern,,Regular,Novelty,39 sold
10/20 Pairs Mens Luxury Coloured Design Socks Smart Suit Work Cotton Rich 6-11,GBP 7.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Dress Socks,All Seasons,No,dress,,Cotton,ctl,"Business, Casual, Formal, Workwear",Mid Calf,Check,Machine Washable,Regular,Designer,46 sold
FOOTBALL STRIPED SOCKS SPORT KNEE HIGH MEDIUM LARGE HOCKEY RUGBY,GBP 3.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Socks,"All Seasons, Lightweight",No,Striped,,Polyester and Cotton,Unbranded,,Knee High,Striped,,Regular,Football,"1,362 sold"
Men Thigh High Full Leg Socks Stocking Sport Sleeve Footless Knee Brace Calf,US $7.44,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Stockings,,Yes,,,"Nylon, Spandex",Unbranded,,Knee High,,,Regular,,14 sold
3x Mens Merino Military Wool Blend Work Boot Thick Thermal Winter Socks 2.8 Tog,GBP 6.95,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Outdoor Socks,Thermal,No,Boots,,Wool,Unbranded,Casual,Mid Calf,No Pattern,Machine Washable,Regular,"Army, Outdoor",21 sold
Nike sneaker socks 6 pairs bundle SX7678 size 38-42 B-stock white sale new,EUR 14.99,New without tags,,,,,,,,,,,,,,,4 sold
Mens 2 Pair Pack White Mod Retro Socks,GBP 6.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Everyday Socks,All Seasons,No,Plain,,"75% Cotton, 20% Polyester, 5% Elastane",MACAHEL,Casual,Ankle Socks,No Pattern,,Regular,"Skinhead, Retro",38 sold
"Mens Ribbed 100% Cotton ""BIG FOOT"" Soft Elastic Top Crew Socks UK 11-14",GBP 5.49,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Crew Socks,"All Seasons, Breathable, Lightweight, Moisture Wicking",No,N/A,,100% Cotton,Miuayga,"Business, Casual, Formal",Mid Calf,No Pattern,Machine Washable,Big & Tall,Everyday Socks,21 sold
Mens Lambswool Socks 3-6 Pairs Multi Colours Casual Socks 6-11 Size Work Socks,GBP 4.95,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Dress Socks,Soft Ribbed,No,"Blue, No Character",,Lambswool,Ralph Lewis,Casual,Mid Calf,,Machine Washable,Regular,"Colourful, Casual Wear",39 sold
3-12 Pairs Men's Circulatory Health Diabetic Ankle Quarter Socks Khaki Size 9-15,US $9.99/ea,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Diabetic Ankle Cushioned Socks,All Seasons,Yes,Happy,Khaki,"90% Cotton, 7% polyester,3% elasthane",Vinco,"Business, Casual, Formal, Workwear",Ankle,Solid,Machine Washable,Regular,Happy,6 sold
Nike Socks Mens Women Ankle Low Cut Everyday Lightweight Crew Sports Socks,GBP 10.95,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Crew Socks,"All Seasons, Arch Support, Moisture Wicking",,,,Cotton,Nike,Casual,Low Cut,,,,Sports,357 sold
Mens Socks Cotton Rich Designer 3 - 12 Pairs Casual Work Sports Sock Size UK lot,GBP 4.75,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Everyday Socks,"MENS SOCKS STANZYCOMPANY, All Seasons, Antibacterial, Breathable, Lightweight, Moisture Wicking",No,"SHOE, designer, BUSSINESS, SUMMER FRESH COTTON",,"Cotton, Cotton Blend, Elastane, Polyester",FreshFeel,Casual,Mid Calf,Plain,Machine Washable,Regular,Sports,8 sold
10 to 50 Pairs Sneaker Socks Cotton Men Women's Black White Grey,EUR 14.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,,,,,,"Baumwolle, Baumwollmischung",,,,,,,,683 sold
Plain Pale Sky Blue Socks in Mens and Womens - X6S226,GBP 3.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Novelty Socks,All Seasons,Yes,NA,,Cotton Blend,GTR-Prestige Giftware,Casual,Mid Calf,No Pattern,,Regular,Novelty,111 sold
Mens Cotton Blend Black Stretch Everyday Socks Big Foot Size UK 11-14 SALE ! £ 6,GBP 5.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Dress Socks,"All Seasons, Breathable, Lightweight",No,Astro Boy,,Cotton Blend,Fresh Feel,Casual,Mid Calf,No Pattern,Machine Washable,Big & Tall,Elegant,586 sold
Supreme Hanes Crew Socks Red (Single Pair) - Size 6-12,GBP 12.00,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Crew Socks,,,,,100% Supersoft Cotton,Supreme,,,,,Regular,,8 sold
Nike Men white with BLUE stripe and logo Essential crew socks size M or L,US $15.00/ea,New without tags,,Crew Socks,,,,White,Polyester,Nike,,,,Machine Washable,Regular,Logo,2 sold
BOSS 3 Pack Men's Socks Stockings Medium High Cotton Mix Black Dark Blue,EUR 19.95,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,,,,,,"Baumwollmischung, Elasthan, Polyamid",,,,,,,,139 sold
Mens HJ Hall Indestructible™ HJ1 Broad Rib Work Boot Socks (lot) All Sizes,GBP 6.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Indestructible™,"All Seasons, Breathable, Lightweight",No,N/A,,100% Polyamide,HJ Hall,"Casual, Workwear",Mid Calf,No Pattern,Machine Washable,Regular,Outdoor Socks,72 sold
"Hugo Boss 3 Pack Sock - UK 6-11, EU 39-45 -",GBP 8.00,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Outdoor Socks,,,,,,HUGO BOSS,Casual,,,,,,3 sold
"Kirkland Merino Wool Trail Socks Hiking Outdoor, size UK 7-13, Men, (4 Pack) NEW",GBP 26.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Everyday Socks,Arch Support,No,,,"Merino Wool, Wool",Kirkland,Casual,Ankle Socks,,,Regular,walking,2 sold
Asics Made For Sport Unisex 3 Pack MotionDry Trainer Socks 132724 0701,GBP 10.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Sports Socks,"MotionDry - Wicks Sweat away from feet, Unisex, Triple Pack, Black / White / Grey, Arch Support, Lightweight",,,,64% Cotton 29% Polyester 5% Polyamide 2% Elastane,ASICS,,Trainer Socks,,,,,33 sold
5 Pairs Mens Socks Lot Cotton Novelty Fashion Colourful Casual Dress Socks 7-11,US $15.36,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Novelty Socks,,,,Multicolor,,Unbranded,,,,,,,2 sold
3 PAIRS OF MENS 6-11 THERMAL SOCKS WINTER WARM THICK 4.7 TOG SHERPA LINING,GBP 0.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Novelty Socks,Thermal,Yes,,,SHERPA FLEECE,WARMLAND,Casual,Mid Calf,,,Regular,WINTER,33 sold
10Pairs Men Business Socks Summer Ultra-thin Ice Silk Breathable Deodorant Sock-,GBP 8.11,"New without tags: A brand-new, unused, and unworn item (including handmade items) that is not in ...",,Men socks,,,,,Polyester cotton,Unbranded,,,,,Regular,,46 sold
Mens Knee High Long Wool Rich Boot Socks Extra thick Soft Warm Winter Socks UK,GBP 10.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Outdoor Socks,Extra thick & Soft socks,No,Boots,,"40% wool , 60% Mixed Material",WISHWISE,"Business, Casual, Workwear",Long Hose,,Wash Dark Colours Separately,Regular,"Classic, Happy, Outdoor",24 sold
"6 Pairs Mens Black Thermal Socks, Thick Warm Work Boot Socks Size 9-11",GBP 8.99,New without tags,,Crew Socks,Cushioned,,Boots,,Cotton Blend,zak,Casual,Mid Calf,No Pattern,,,"Outdoor, Sports",101 sold
"""You're My Lobster"" Husband, Boyfriend, Girlfriend, Wife Gift Novelty Socks",GBP 5.45,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Novelty Socks,All Seasons,Yes,"friends, Lobster",,Cotton,Unbranded,"Valentines Day, Anniversary, Casual",Low Cut,Animal Print,Machine Washable,Regular,"Funny, Novelty",25 sold
Mens Stacy Adams Socks Solid Color Dress Casual Socks Many Colors,US $14.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Dress Socks,,,,,67% Rayon 31% Nylon 2% Elastic,Stacy Adams,,,Solid,,,,299 sold
Happy 50th Birthday Printed Design Mens Black Socks Great 50th Birthday Gift,GBP 5.69,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Novelty Socks,All Seasons,,,,Cotton Blend,Unbranded,Casual,Ankle Socks,Plain,,Regular,Novelty,52 sold
6 Pair Pack Socks Mens Cushioned Sole Trainer Liner Pro Active Sport Running Gym,GBP 9.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Sports Socks,All Seasons,No,,,"84% cotton 14% polyester 2% elastane, Cotton Blend",Pro Hike,Casual,Trainer Socks,2 Tone Striped,,Regular,,75 sold
High Glossy Oil Shiny Pantyhose Elastic Full Body Stockings Bodysuit Tights Men,US $13.73/ea,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Athletic Socks,,No,,,,Unbranded,,,,,Regular,,4 sold
Tabi Socks Athletic Socks Men's Knee Long Toe Socks Ankle Simple Man,EUR 7.17,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,,,,,,Cotton,,,,,,,,5 sold
Mens 2 Pair Pack Multi Pack Ska Man 2 Tone Retro Socks,GBP 6.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Everyday Socks,All Seasons,No,"Ska Man, Walt",,"75% Cotton, 20% Polyester, 5% Elastane",Mazeys,Casual,Ankle Socks,No Pattern,,Regular,"Checked, 60s, 70s, Ska, Shinhead, 2 tone, Retro",65 sold
3-15 Pairs Everyday Soft Cotton Rich Causal Work Sports Work Winter Socks 6-11,GBP 4.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Reinforced Toe,Crew Socks,"All Seasons, Arch Support, Cushioned",No,everyday/sports/work,,"Cotton, Cotton Blend",Everyday,"Business, Casual, Formal, Workwear",Mid Calf,Striped,Machine Washable,Regular,Sports,6 sold
"Men's Ankle Athletic Socks, Mens Running Socks For Gym Training Hiking Size 6-11",GBP 3.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Athletic Socks,All Seasons,No,Boy,,Polycotton,Unbranded,Casual,Trainer Socks,No Pattern,Machine Washable,Regular,Sports,56 sold
Lambretta Exclusive Target Design Men's 3 Pack Socks Black / Purple Stripe Spot,GBP 7.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Dress Socks,Lambretta Target Spot,No,Scooter,,Cotton Mix,Lambretta,,Ankle Socks,Logod,,Regular,Target,5 sold
6 pairs mens socks diabetic non elastic loose top wide big foot 11-14,GBP 13.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,diabetic socks,"All Seasons, Antibacterial, Breathable, Lightweight",No,kk,,Cotton,Unbranded,Casual,Mid Calf,No Pattern,Machine Washable,Big & Tall,Classic,3 sold
"3,6&12 Mens Big Foot Fresh Feel 100% Cotton Comfortable Socks Size UK-11/14",GBP 7.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,M10532,Lightweight,No,N/A,,100% Cotton,MK-ONESTOPSHOP,Casual,Mid Calf,No Pattern,Machine Washable,big foot,plain,55 sold
