,name,price,condition,toeStyle,style,features,handmade,character,color,material,brand,occasion,sockLength,pattern,garmentCare,sizeType,theme,availability
39,Mens Designer Diabetic Socks Non Elastic Cotton 3 6 12 Pairs .,5.4483,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Dress Socks,All Seasons,,Patterns,,"55% Cotton, 20% Polyester, 2% Elastane.",Unbranded,Casual,Mid Calf,Mixed,Machine Washable,Regular,Dress,26.0
40,10/20 Pairs Mens Cotton Rich Cushion Sole Sport Socks Shoe Size 6-11 Black White,10.0965,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Sports Socks,Cushioned,,,,"Cotton Blend, Cotton",SOLE,Casual,Ankle Socks,No Pattern,,Regular,Sports,29562.0
41,3 Pack Mens Cushioned Double Layer Liner Anti Blister Hiking Walking Socks,16.4973,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Outdoor Socks,"Double Layer, Anti Blister, Cushioned",,,,"72% Cotton, 13% Polyester, 11% Nylon, 2% Elastane,",Sock Snob,Casual,,,,Regular,,2324.0
42,12 Pairs Mens Gentle Grip Non Elastic Socks Soft Cotton Comfort UK6-11 EUR 39-45,10.1473,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Everyday Socks,All Seasons,No,Boots,,75%Cotton 19%Polyester 5%Nylon 1%Elastane,sockshop,Casual,Ankle Socks,,Machine Washable,6/11,Designer,794.0
43,Nike Everyday Cushioned Training Crew Socks (6 Pairs) Black Mens Size UK 8-11!,24.066499999999998,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Crew Socks,Cushioned,,,,,Nike,Casual,,,,,,94.0
44,Men's Women's Sports Socks Ankle Sock Short Socks Trave Socks,1.29,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Outdoor Socks,,,,,Polyester,Unbranded,Casual,,,,Regular,,81.0
45,3 Pairs Ladies OR Mens Sport Gym Yoga Non Slip Gripper Sole Trainer Liner Socks,6.3119,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Sport,Non-Slip,,Gripper,,"65% Cotton 30% Polyester, 5% Elastane",RedTag Active,Everyday,Low Cut,No Pattern,Machine Washable,,Sports,3120.0
46,6 Pairs Dickies Mens Heavy Duty Dri-tech Boot Work Crew Socks Cushion 6-11Sports,13.9573,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Reinforced Toe,Crew Socks,"All Seasons, Antibacterial, Arch Support, Breathable, Cushioned, Moisture Wicking, Non-Slip",No,Boots,,Cotton Blend,Dickies,"Casual, Workwear",Mid Calf,,Machine Washable,Regular,"Modern, Sports",117.0
47,Men Socks Anklet Ankle Socks Short Socks Boat Socks Summer Leisure Soft,2.3694,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Novelty Socks,Breathable,No,,,,Unbranded,,,Solid,,Regular,,11.0
48,Nike 3 Pairs Men Womens Cotton Socks Lightweight Crew Socks TieDie Select Colour,13.9065,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Crew Socks,"All Seasons, Arch Support, Breathable, Lightweight, Moisture Wicking, Non-Slip",No,home,,"Cotton, Elastane, Polyester",Nike,"Business, Casual, Workwear",,No Pattern,,Regular,"Colourful, Designer, Sports",16.0
